JDHEL V-C s1 V-K1 s2 C-K1 s3 HELCOR AIRMASS
Aperture: 4, Filter: IRCUT, JD: heliocentric
2461182.3530537 99.99999 9.99999 1.80402 0.04545 99.99999 9.99999 0.0039888 1.9979
2461182.3531880 99.99999 9.99999 99.99999 9.99999 1.61268 0.03172 0.0039888 1.9984
2461182.3533878 99.99999 9.99999 1.78923 0.04521 99.99999 9.99999 0.0039888 1.9991
2461182.3535201 0.05486 0.04985 1.64518 0.03730 1.59032 0.03493 0.0039888 1.9996
2461182.3536541 0.22007 0.04976 1.89328 0.03900 1.67320 0.03234 0.0039888 2.0001
2461182.3537900 0.46568 0.05042 1.74900 0.04321 1.28332 0.02893 0.0039888 2.0006
2461182.3539243 0.17654 0.05158 99.99999 9.99999 99.99999 9.99999 0.0039888 2.0012
2461182.3541206 0.31492 0.04983 1.77084 0.04092 1.45591 0.03060 0.0039887 2.0019
2461182.3542527 99.99999 9.99999 99.99999 9.99999 1.53506 0.03472 0.0039887 2.0024
2461182.3543873 99.99999 9.99999 99.99999 9.99999 1.45674 0.03549 0.0039887 2.0029
2461182.3545202 0.07077 0.04844 1.62743 0.03675 1.55666 0.03363 0.0039887 2.0035
2461182.3546529 99.99999 9.99999 99.99999 9.99999 99.99999 9.99999 0.0039887 2.0040
2461182.3548518 0.00639 0.04280 1.64370 0.03177 1.63731 0.03024 0.0039887 2.0048
2461182.3549842 99.99999 9.99999 1.67604 0.03727 99.99999 9.99999 0.0039887 2.0053
2461182.3551167 -0.18839 0.04733 1.61182 0.03073 1.80020 0.03735 0.0039887 2.0058
2461182.3552499 99.99999 9.99999 99.99999 9.99999 1.54855 0.03483 0.0039887 2.0063
2461182.3553850 0.04725 0.04219 1.55766 0.03125 1.51041 0.03016 0.0039887 2.0069
2461182.3555820 -0.03339 0.04294 1.52325 0.03111 1.55664 0.03152 0.0039886 2.0077
2461182.3558489 -0.11422 0.04228 1.47722 0.02860 1.59144 0.03282 0.0039886 2.0087
2461182.3559810 -0.20944 0.04272 1.45133 0.02839 1.66078 0.03351 0.0039886 2.0093
