JDHEL V-C s1 HELCOR AIRMASS
Aperture: 4, Filter: IRCUT, JD: heliocentric
2461218.4148917 -2.09211 0.01926 -0.0003274 1.0855
2461218.4149695 -2.14262 0.02179 -0.0003274 1.0856
2461218.4153734 -2.27007 0.02189 -0.0003274 1.0862
2461218.4154504 99.99999 9.99999 -0.0003274 1.0863
2461218.4155293 -2.32529 0.02027 -0.0003274 1.0864
2461218.4156907 99.99999 9.99999 -0.0003274 1.0866
2461218.4157698 -1.94601 0.01948 -0.0003274 1.0867
2461218.4158477 99.99999 9.99999 -0.0003274 1.0868
2461218.4159250 99.99999 9.99999 -0.0003274 1.0869
2461218.4161664 -1.90872 0.01766 -0.0003274 1.0872
2461218.4162433 99.99999 9.99999 -0.0003275 1.0873
2461218.4163209 99.99999 9.99999 -0.0003275 1.0874
2461218.4164761 99.99999 9.99999 -0.0003275 1.0876
2461218.4166423 99.99999 9.99999 -0.0003275 1.0879
2461218.4171140 -2.19335 0.01941 -0.0003275 1.0885
2461218.4172704 -1.73775 0.01854 -0.0003275 1.0887
2461218.4174261 99.99999 9.99999 -0.0003275 1.0889
2461218.4177519 99.99999 9.99999 -0.0003275 1.0894
2461218.4180693 99.99999 9.99999 -0.0003275 1.0898
2461218.4182257 99.99999 9.99999 -0.0003275 1.0900
2461218.4183024 -1.99133 0.01544 -0.0003275 1.0901
2461218.4185010 -2.01577 0.01576 -0.0003275 1.0904
2461218.4187336 -1.97162 0.01701 -0.0003275 1.0907
2461218.4188105 -1.92856 0.01732 -0.0003275 1.0908
2461218.4189771 -1.92954 0.01755 -0.0003275 1.0910
2461218.4190534 99.99999 9.99999 -0.0003275 1.0912
2461218.4191323 -1.86149 0.01651 -0.0003275 1.0913
2461218.4192093 -2.31745 0.02183 -0.0003275 1.0914
2461218.4192882 99.99999 9.99999 -0.0003275 1.0915
2461218.4195321 -2.06649 0.01644 -0.0003276 1.0918
2461218.4196120 99.99999 9.99999 -0.0003276 1.0919
