JDHEL V-C s1 V-K1 s2 V-K2 s3 V-K3 s4 V-K4 s5 C-K1 s6 C-K2 s7 C-K3 s8 C-K4 s9 K1-K2 s10 K1-K3 s11 K1-K4 s12 K2-K3 s13 K2-K4 s14 K3-K4 s15 HELCOR AIRMASS
Aperture: 2, Filter: IRCUT, JD: heliocentric
2461186.3283218 -0.41605 0.06005 -1.07908 0.09827 -1.11071 0.10248 -0.84476 0.07616 -0.36622 0.06005 -0.66303 0.10131 -0.69466 0.10540 -0.42871 0.08005 0.04983 0.06491 -0.03163 0.13099 0.23432 0.11162 0.71286 0.10131 0.26595 0.11534 0.74450 0.10540 0.47854 0.08005 0.0037051 1.9859
2461186.3284557 -0.41373 0.05690 -1.13090 0.11292 -1.04198 0.09065 -0.90465 0.08296 -0.25921 0.05093 -0.71718 0.11770 -0.62826 0.09654 -0.49092 0.08936 0.15452 0.06079 0.08892 0.13724 0.22626 0.13228 0.87169 0.11493 0.13734 0.11386 0.78277 0.09314 0.64544 0.08568 0.0037051 1.9863
2461186.3285902 -0.30748 0.06238 -0.83740 0.09843 -0.82989 0.09225 -0.73008 0.08946 -0.26512 0.06335 -0.52992 0.10321 -0.52241 0.09733 -0.42260 0.09470 0.04235 0.07055 0.00751 0.12358 0.10732 0.12151 0.57228 0.10380 0.09981 0.11656 0.56477 0.09796 0.46495 0.09534 0.0037051 1.9867
2461186.3287881 -0.50362 0.06713 -1.10306 0.09301 -1.07251 0.11017 -0.79791 0.07713 -0.27074 0.05640 -0.59945 0.10439 -0.56890 0.11994 -0.29430 0.09053 0.23288 0.07367 0.03055 0.13612 0.30515 0.11109 0.83233 0.09784 0.27460 0.12581 0.80177 0.11428 0.52718 0.08289 0.0037051 1.9872
2461186.3289205 -0.42248 0.05749 -1.21238 0.10083 -1.07255 0.10000 -0.92346 0.07792 -0.27521 0.05359 -0.78990 0.10480 -0.65007 0.10401 -0.50098 0.08300 0.14727 0.06074 0.13983 0.13296 0.28892 0.11726 0.93717 0.10271 0.14909 0.11655 0.79734 0.10190 0.64825 0.08034 0.0037051 1.9876
2461186.3290549 -0.34880 0.05613 -1.05577 0.08895 -1.09422 0.10330 -0.84290 0.07904 -0.27228 0.05269 -0.70696 0.09472 -0.74542 0.10832 -0.49410 0.08549 0.07652 0.06195 -0.03846 0.12843 0.21286 0.10987 0.78348 0.09273 0.25132 0.12178 0.82194 0.10658 0.57062 0.08328 0.0037051 1.9879
2461186.3291890 99.99999 9.99999 99.99999 9.99999 99.99999 9.99999 99.99999 9.99999 99.99999 9.99999 -0.72917 0.09052 -0.84381 0.10929 -0.68405 0.08764 -0.14137 0.07108 -0.11463 0.12683 0.04513 0.10873 0.58780 0.09587 0.15976 0.12479 0.70244 0.11377 0.54268 0.09316 0.0037051 1.9883
2461186.3293225 -0.32798 0.05443 -1.27651 0.10928 -1.03637 0.09548 -0.89491 0.08295 -0.37354 0.06242 -0.94853 0.11318 -0.70839 0.09991 -0.56693 0.08801 -0.04555 0.06901 0.24014 0.13770 0.38160 0.12933 0.90297 0.11722 0.14146 0.11790 0.66284 0.10448 0.52137 0.09316 0.0037051 1.9887
2461186.3295175 -0.32809 0.05728 -1.09497 0.09030 -1.19290 0.10075 -1.01441 0.08875 -0.29526 0.05134 -0.76688 0.09668 -0.86481 0.10650 -0.68632 0.09523 0.03283 0.06187 -0.09793 0.12734 0.08056 0.11808 0.79970 0.09328 0.17849 0.12625 0.89764 0.10343 0.71915 0.09178 0.0037050 1.9893
2461186.3297826 -0.38291 0.05226 -1.18245 0.08896 -1.09641 0.09561 -1.01238 0.09061 -0.34337 0.05321 -0.79954 0.09331 -0.71350 0.09967 -0.62948 0.09488 0.03953 0.06020 0.08604 0.12295 0.17007 0.11910 0.83908 0.09385 0.08403 0.12415 0.75304 0.10017 0.66901 0.09541 0.0037050 1.9900
